City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Washington,US,85.57,clear sky,47.5,-120.5,Sky Meadows Bed & Breakfast
9,Marinette,US,89.65,few clouds,45.1,-87.63,AmericInn by Wyndham Menominee
15,Jamestown,US,87.06,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
19,San Nicolas,PH,80.71,clear sky,18.17,120.6,NORTHVIEW Hotel
27,Ribeira Grande,PT,77.4,light intensity shower rain,38.52,-28.7,Quinta da Meia Eira
29,Suruc,TR,84.18,clear sky,36.98,38.42,Suruç belediye taziye evi
42,Kavaratti,IN,81.16,overcast clouds,10.57,72.64,Dharul Hudha
45,San Cristobal,VE,80.78,broken clouds,7.77,-72.22,Pirineos
50,Trairi,BR,80.55,overcast clouds,-3.28,-39.27,janelas do mar
53,Ilheus,BR,78.62,scattered clouds,-14.79,-39.05,Barravento Hotel
59,Itarema,BR,81.61,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
60,Victoria,HK,87.19,broken clouds,22.29,114.16,Mini Central
69,Hambantota,LK,78.89,overcast clouds,6.12,81.12,Bungalow 63
71,Marsa Matruh,EG,79.0,clear sky,31.35,27.25,Beau Site
74,Bathsheba,BB,86.61,few clouds,13.22,-59.52,Atlantis Hotel
76,Nantucket,US,89.74,clear sky,41.28,-70.1,Jared Coffin House
80,Narasannapeta,IN,80.85,overcast clouds,18.42,84.05,AVK events and catering
84,Harper,LR,75.7,broken clouds,4.38,-7.72,Screensaver
86,Saint-Francois,FR,78.24,clear sky,46.42,3.91,Manoir Du Bonheur
87,Nouadhibou,MR,78.78,scattered clouds,20.93,-17.03,El Medina
90,Tucurui,BR,87.98,few clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
91,Sao Miguel Do Iguacu,BR,83.28,overcast clouds,-25.35,-54.24,Hotel Itaguaçu
93,Robertsport,LR,78.01,overcast clouds,6.75,-11.37,Kwepunha Retreat
97,Cockburn Town,TC,79.16,overcast clouds,21.46,-71.14,Osprey Beach Hotel
98,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.08,Scoop Guest House
99,San-Pedro,CI,75.38,few clouds,4.75,-6.64,Hotel Maria
108,Praia Da Vitoria,PT,77.25,broken clouds,38.73,-27.07,Hotel Branco I
112,Darnah,LY,78.31,clear sky,32.77,22.64,زاوية الرفاعي
113,Neyshabur,IR,85.01,clear sky,36.21,58.8,Amiran Hotel & Commercial Complex
116,Zhob,PK,76.62,broken clouds,31.34,69.45,Cooperative office zhob
118,Salto Del Guaira,PY,78.21,overcast clouds,-24.06,-54.31,7 Saltos Resort
120,Marau,BR,75.15,overcast clouds,-28.45,-52.2,Hotel Pousada Tordilho Negro
127,Dingle,PH,76.32,overcast clouds,11.0,122.67,SEGAYA PROPERTY
130,San Jorge,AR,75.99,scattered clouds,-31.9,-61.86,INDIGO Hostel
134,Chiriqui Grande,PA,83.95,broken clouds,8.95,-82.12,Hospedaje Cervera
136,Agropoli,IT,80.1,clear sky,40.35,15.0,B&B Baia di Trentova
137,Arraial Do Cabo,BR,78.76,clear sky,-22.97,-42.03,Pousada Porto Praia
139,Maracacume,BR,82.15,overcast clouds,-2.04,-45.96,POUSADA CASTELO
140,Havelock,US,89.58,broken clouds,34.88,-76.9,Sherwood Motel
142,Sao Joao Da Barra,BR,78.89,clear sky,-21.64,-41.05,Pousada Porto De Canoas
147,Waddan,LY,84.36,clear sky,29.16,16.14,محل الشريف محمد العايب
152,Salta,AR,75.79,scattered clouds,-24.79,-65.41,Hotel Alejandro I
153,Barcelona,ES,88.61,clear sky,41.39,2.16,Axel Hotel Barcelona
157,George Town,MY,78.73,few clouds,5.41,100.34,Cititel Penang
159,Kudahuvadhoo,MV,82.76,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
161,Gat,IL,80.82,clear sky,31.61,34.76,OlusHome
164,Trincomalee,LK,80.74,overcast clouds,8.57,81.23,Welcombe Hotel
168,Grezzana,IT,86.86,clear sky,45.52,11.02,Residenza Borgo 27
171,Alappuzha,IN,78.01,light rain,9.49,76.33,Panoramic Sea Resort
173,Georgetown,MY,78.73,few clouds,5.41,100.34,Cititel Penang
174,Lardos,GR,85.82,clear sky,36.09,28.02,Lindos Princess Beach Hotel
182,Mandaguacu,BR,83.8,clear sky,-23.35,-52.1,Comaq Palace Hotel
183,Callaway,US,87.91,overcast clouds,30.15,-85.57,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
185,Manacapuru,BR,85.5,broken clouds,-3.3,-60.62,Novo Hotel
187,Sao Filipe,CV,75.96,broken clouds,14.9,-24.5,Hotel Xaguate
189,Goderich,CA,79.12,clear sky,43.75,-81.72,Harmony Inn
191,Porteirinha,BR,82.62,clear sky,-15.74,-43.03,Portal Palace Hotel
192,Bartica,GY,89.92,scattered clouds,6.4,-58.62,Sloth Island Nature Resort
201,Jalu,LY,82.15,clear sky,29.03,21.55,صاحبة الفخامة
206,Avila,ES,75.18,overcast clouds,40.58,-5.0,El Carrascal
209,Bengkulu,ID,75.42,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
211,Gazanjyk,TM,79.61,clear sky,39.24,55.52,Railway motel
215,Port-Gentil,GA,75.16,few clouds,-0.72,8.78,Fengshui Residence
216,Santa Rosa,PH,82.38,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
219,Puerto Carreno,CO,87.78,scattered clouds,6.19,-67.49,Casa Hotel Victoria
223,Morant Bay,JM,89.22,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
224,Shelburne,CA,83.16,broken clouds,44.08,-80.2,The Retreat at the Farm
232,Vila Velha,BR,78.75,few clouds,-20.33,-40.29,Hotel Vitória Palace
233,Bubaque,GW,77.05,moderate rain,11.28,-15.83,"Casa Dora, Bubaque"
234,Sousa,BR,82.92,overcast clouds,-6.76,-38.23,Pousada Recanto Das Estrelas
236,Gamboma,CG,80.6,overcast clouds,-1.88,15.86,Residence N'Keni
238,Iskele,TR,75.27,clear sky,39.48,26.93,Hotel Nova
240,Governador Valadares,BR,81.18,clear sky,-18.85,-41.95,Hotel Panorama
242,Montemor-O-Novo,PT,77.76,clear sky,38.65,-8.21,L'and Vineyards
