City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-07-22 17:22:23,-21.2,-175.2,71.76,88,40,8.05
1,Ous,RU,2022-07-22 17:22:24,60.9058,61.5186,56.16,57,14,6.04
2,Amga,RU,2022-07-22 17:22:24,60.8953,131.9608,66.42,81,100,2.46
3,Chuy,UY,2022-07-22 17:22:25,-33.6971,-53.4616,60.01,83,100,3.15
4,Bubaque,GW,2022-07-22 17:22:25,11.2833,-15.8333,77.36,90,100,19.77
5,East London,ZA,2022-07-22 17:22:25,-33.0153,27.9116,63.54,67,0,5.75
6,Punta Arenas,CL,2022-07-22 17:20:09,-53.15,-70.9167,41.02,75,0,20.71
7,Thompson,CA,2022-07-22 17:22:26,55.7435,-97.8558,53.76,87,100,5.75
8,Mataura,NZ,2022-07-22 17:22:26,-46.1927,168.8643,33.48,98,16,2.95
9,Neftcala,AZ,2022-07-22 17:22:27,39.3742,49.2472,79.27,67,0,9.6
10,Panchimalco,SV,2022-07-22 17:22:27,13.6128,-89.18,83.21,87,77,1.41
11,Saskylakh,RU,2022-07-22 17:22:28,71.9167,114.0833,47.5,73,100,6.64
12,Boa Vista,BR,2022-07-22 17:22:25,2.8197,-60.6733,85.98,70,40,9.22
13,Tautira,PF,2022-07-22 17:22:28,-17.7333,-149.15,75.58,80,52,10.92
14,Dikson,RU,2022-07-22 17:22:29,73.5069,80.5464,53.29,73,100,10.83
15,Sibolga,ID,2022-07-22 17:22:29,1.7427,98.7792,76.69,90,86,4.18
16,Busselton,AU,2022-07-22 17:22:30,-33.65,115.3333,58.93,81,29,17.07
17,Te Anau,NZ,2022-07-22 17:22:30,-45.4167,167.7167,32.07,93,63,1.99
18,Khatanga,RU,2022-07-22 17:22:31,71.9667,102.5,45.77,83,100,14.14
19,Atar,MR,2022-07-22 17:22:31,20.5169,-13.0499,95.36,38,97,7.25
20,Mahebourg,MU,2022-07-22 17:22:31,-20.4081,57.7,70.09,83,40,12.66
21,Coos Bay,US,2022-07-22 17:22:32,43.3665,-124.2179,66.99,85,75,9.22
22,Touros,BR,2022-07-22 17:22:32,-5.1989,-35.4608,82.2,68,92,15.03
23,Castro,BR,2022-07-22 17:22:33,-24.7911,-50.0119,74.86,39,33,6.58
24,Ushuaia,AR,2022-07-22 17:22:33,-54.8,-68.3,35.26,93,100,29.93
25,Butaritari,KI,2022-07-22 17:22:34,3.0707,172.7902,80.96,76,30,9.19
26,Baruun-Urt,MN,2022-07-22 17:22:34,46.6806,113.2792,61.48,60,100,5.14
27,San Andres,CO,2022-07-22 17:22:34,12.5847,-81.7006,84.22,79,75,9.22
28,Seymchan,RU,2022-07-22 17:22:35,62.8833,152.4333,46.89,72,0,2.44
29,Fortuna,US,2022-07-22 17:18:16,40.5982,-124.1573,60.66,85,69,3.0
30,Chumikan,RU,2022-07-22 17:22:35,54.7183,135.315,50.25,98,77,2.33
31,Sitka,US,2022-07-22 17:20:57,57.0531,-135.33,55.29,82,100,4.61
32,Torbay,CA,2022-07-22 17:22:36,47.6666,-52.7314,79.88,69,97,9.48
33,Albany,US,2022-07-22 17:18:35,42.6001,-73.9662,92.62,41,7,9.89
34,Airai,TL,2022-07-22 17:18:32,-8.9266,125.4092,52.25,77,78,2.28
35,Qaanaaq,GL,2022-07-22 17:22:37,77.484,-69.3632,42.19,84,100,11.54
36,Peace River,CA,2022-07-22 17:22:37,56.2501,-117.286,64.71,59,20,5.75
37,Ribeira Grande,PT,2022-07-22 17:22:38,38.5167,-28.7,77.4,83,40,9.22
38,Hobart,AU,2022-07-22 17:19:10,-42.8794,147.3294,49.86,76,75,9.22
39,Rocha,UY,2022-07-22 17:22:38,-34.4833,-54.3333,63.57,71,71,2.17
40,Mar Del Plata,AR,2022-07-22 17:22:39,-38.0023,-57.5575,53.62,71,0,5.75
41,Panzhihua,CN,2022-07-22 17:22:39,26.5851,101.7128,71.65,92,100,2.08
42,Yellowknife,CA,2022-07-22 17:20:37,62.456,-114.3525,62.56,59,96,4.0
43,Malakal,SS,2022-07-22 17:22:40,9.5334,31.6605,80.19,69,79,4.79
44,Mount Gambier,AU,2022-07-22 17:22:40,-37.8333,140.7667,50.85,97,100,8.9
45,Pevek,RU,2022-07-22 17:22:41,69.7008,170.3133,31.62,90,100,2.21
46,Aksu,CN,2022-07-22 17:18:32,41.1231,80.2644,87.22,17,0,5.01
47,Moroni,KM,2022-07-22 17:23:41,-11.7022,43.2551,77.0,73,20,5.75
48,New Norfolk,AU,2022-07-22 17:23:42,-42.7826,147.0587,49.5,82,99,3.0
49,Hermanus,ZA,2022-07-22 17:23:42,-34.4187,19.2345,54.81,68,92,11.77
50,Wau,SS,2022-07-22 17:23:42,7.7029,27.9953,74.93,87,25,4.34
51,Havre-Saint-Pierre,CA,2022-07-22 17:23:43,50.2334,-63.5986,64.76,94,100,11.5
52,Port Lincoln,AU,2022-07-22 17:20:45,-34.7333,135.8667,53.04,65,86,6.04
53,Dingle,PH,2022-07-22 17:23:43,10.9995,122.6711,77.0,90,75,4.5
54,Port Alfred,ZA,2022-07-22 17:23:44,-33.5906,26.891,65.5,67,49,3.33
55,Kapaa,US,2022-07-22 17:23:44,22.0752,-159.319,79.12,85,40,12.66
56,Mastung,PK,2022-07-22 17:23:45,29.7994,66.845,79.29,55,69,2.93
57,Chokurdakh,RU,2022-07-22 17:23:45,70.6333,147.9167,38.66,78,77,12.55
58,Hithadhoo,MV,2022-07-22 17:21:16,-0.6,73.0833,81.09,74,100,7.18
59,Nanortalik,GL,2022-07-22 17:23:46,60.1432,-45.2371,48.06,81,38,5.44
60,Port Augusta,AU,2022-07-22 17:22:03,-32.5,137.7667,56.71,63,100,9.08
61,Arraial Do Cabo,BR,2022-07-22 17:23:09,-22.9661,-42.0278,80.56,73,0,14.97
62,Mayor Pablo Lagerenza,PY,2022-07-22 17:23:47,-19.9309,-60.7718,94.06,20,1,14.97
63,Rochegda,RU,2022-07-22 17:23:47,62.8,43.25,72.68,71,80,3.18
64,Kamskiye Polyany,RU,2022-07-22 17:23:47,55.4307,51.4171,70.61,72,15,1.66
65,Waipawa,NZ,2022-07-22 17:22:55,-41.4122,175.5153,39.51,74,44,4.0
66,Rikitea,PF,2022-07-22 17:23:11,-23.1203,-134.9692,72.61,75,99,7.7
67,Ambon,ID,2022-07-22 17:23:48,-3.6954,128.1814,75.34,18,20,4.61
68,Zabaykalsk,RU,2022-07-22 17:23:49,49.6333,117.3167,68.22,68,25,8.66
69,Salinas,US,2022-07-22 17:20:30,36.6777,-121.6555,79.0,70,0,11.5
70,Katsuura,JP,2022-07-22 17:23:49,35.1333,140.3,78.98,85,34,18.48
71,Saint-Pierre,RE,2022-07-22 17:23:50,-21.3393,55.4781,67.91,73,0,8.05
72,Bambous Virieux,MU,2022-07-22 17:23:50,-20.3428,57.7575,70.05,83,40,12.66
73,Roatan,HN,2022-07-22 17:23:51,16.3244,-86.5366,81.68,69,100,16.11
74,Griffith,US,2022-07-22 17:23:51,41.5284,-87.4237,89.89,41,0,3.44
75,Kahului,US,2022-07-22 17:23:52,20.8947,-156.47,78.84,72,20,14.97
76,Teguldet,RU,2022-07-22 17:23:52,57.3064,88.1667,57.51,98,95,6.46
77,Manta,EC,2022-07-22 17:23:52,-0.95,-80.7333,76.78,73,20,11.5
78,Port Moresby,PG,2022-07-22 17:23:53,-9.4431,147.1797,78.22,89,75,5.75
79,Ancud,CL,2022-07-22 17:23:54,-41.8697,-73.8203,40.23,96,100,11.5
80,Puerto Ayora,EC,2022-07-22 17:23:54,-0.7393,-90.3518,78.76,84,48,8.01
81,Aniva,RU,2022-07-22 17:23:55,46.7144,142.5294,57.31,93,81,4.81
82,Hamilton,US,2022-07-22 17:21:39,39.1834,-84.5333,91.65,60,20,18.41
83,New Plymouth,NZ,2022-07-22 17:23:55,-39.0667,174.0833,42.8,76,77,10.31
84,Ugoofaaru,MV,2022-07-22 17:23:56,5.6667,73.0,81.3,78,100,15.1
85,Caravelas,BR,2022-07-22 17:23:56,-17.7125,-39.2481,76.84,69,40,5.88
86,Hasaki,JP,2022-07-22 17:23:56,35.7333,140.8333,75.6,90,31,18.41
87,Goure,NE,2022-07-22 17:23:57,13.9835,10.2704,93.83,36,50,6.69
88,Tiksi,RU,2022-07-22 17:23:57,71.6872,128.8694,43.27,82,52,5.64
89,Muros,ES,2022-07-22 17:21:30,42.7762,-9.0603,81.16,60,10,15.12
90,Cape Town,ZA,2022-07-22 17:23:58,-33.9258,18.4232,59.11,83,75,9.22
91,Xiaoweizhai,CN,2022-07-22 17:23:58,26.1903,107.5125,70.75,97,63,4.45
92,Victoria,HK,2022-07-22 17:20:02,22.2855,114.1577,89.19,82,3,10.0
