,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,58.84,82,40,19.13,light rain
1,Quatre Cocos,MU,-20.21,57.76,70.09,77,10,16.37,light rain
2,Edd,ER,13.93,41.69,92.19,57,100,4.16,overcast clouds
3,Namibe,AO,-15.20,12.15,62.42,88,10,3.22,clear sky
4,Washington,US,47.50,-120.50,85.57,29,0,9.64,clear sky
5,Baragua,CU,21.70,-78.63,90.43,57,26,15.19,scattered clouds
6,Hofn,IS,64.25,-15.21,52.12,93,47,7.49,scattered clouds
7,Same,TZ,-4.07,37.73,63.28,79,11,2.77,few clouds
8,Pestovo,RU,58.59,35.80,62.58,73,46,3.94,scattered clouds
9,Marinette,US,45.10,-87.63,89.65,40,20,6.91,few clouds
10,Ushuaia,AR,-54.80,-68.30,33.46,100,100,23.02,sleet
11,Sistranda,NO,63.73,8.83,53.56,86,25,13.0,scattered clouds
12,Oeiras Do Para,BR,-2.00,-49.85,91.44,42,99,3.02,overcast clouds
13,Punta Arenas,CL,-53.15,-70.92,41.02,70,0,19.57,clear sky
14,East London,ZA,-33.02,27.91,68.31,39,16,6.42,few clouds
15,Jamestown,US,42.10,-79.24,87.06,51,20,13.8,few clouds
16,Qaanaaq,GL,77.48,-69.36,41.34,86,99,9.04,light rain
17,Youkounkoun,GN,12.53,-13.13,75.02,95,100,3.87,moderate rain
18,Mahajanga,MG,-15.72,46.32,71.62,56,20,6.91,few clouds
19,San Nicolas,PH,18.17,120.60,80.71,83,2,3.09,clear sky
20,Nyagan,RU,62.14,65.39,45.18,77,33,5.39,scattered clouds
21,Constitucion,CL,-35.33,-72.42,58.98,80,15,10.96,few clouds
22,Harrisonburg,US,38.45,-78.87,94.69,42,75,10.36,broken clouds
23,Miloslavskoye,RU,53.58,39.44,59.4,94,92,8.3,overcast clouds
24,Antioquia,CO,7.00,-75.50,60.39,96,93,3.42,overcast clouds
25,Bambous Virieux,MU,-20.34,57.76,70.21,83,75,12.66,broken clouds
26,Olafsvik,IS,64.89,-23.71,54.05,77,13,3.69,few clouds
27,Ribeira Grande,PT,38.52,-28.70,77.4,83,40,10.36,light intensity shower rain
28,Calvinia,ZA,-31.47,19.78,52.66,49,100,4.43,overcast clouds
29,Suruc,TR,36.98,38.42,84.18,20,0,9.82,clear sky
30,Taoudenni,ML,22.68,-3.98,104.79,14,48,4.76,scattered clouds
31,Saldanha,ZA,-33.01,17.94,55.45,89,100,4.14,overcast clouds
32,Salym,RU,60.06,71.48,48.72,91,80,1.74,broken clouds
33,Thompson,CA,55.74,-97.86,57.36,82,100,3.44,overcast clouds
34,Chuy,UY,-33.70,-53.46,57.74,92,80,4.43,broken clouds
35,Zhezkazgan,KZ,47.80,67.71,73.96,29,3,9.75,clear sky
36,Saint George,US,37.10,-113.58,110.62,13,0,8.05,clear sky
37,Bonavista,CA,48.65,-53.11,64.83,72,64,16.26,broken clouds
38,Cape Town,ZA,-33.93,18.42,58.26,86,75,9.22,light rain
39,Ilulissat,GL,69.22,-51.10,53.62,82,100,10.36,light rain
40,Betare Oya,CM,5.60,14.08,66.33,97,100,2.01,light rain
